"","X","location","region","Laws","value","Law"
"269",269,"Nicaragua","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"270",270,"Nicaragua","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"271",271,"Niger","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"272",272,"Niger","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"273",273,"Niger","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"274",274,"Nigeria","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"275",275,"Nigeria","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"276",276,"Nigeria","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"277",277,"Niue","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"278",278,"Niue","Oceania","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"279",279,"Niue","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"280",280,"Oman","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"281",281,"Oman","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"282",282,"Oman","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"283",283,"Pakistan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"284",284,"Pakistan","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"285",285,"Pakistan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"286",286,"Palau","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"287",287,"Palau","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"288",288,"Palau","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"289",289,"Panama","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"290",290,"Panama","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"291",291,"Panama","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"292",292,"Papua New Guinea","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"293",293,"Papua New Guinea","Oceania","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"294",294,"Papua New Guinea","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"295",295,"Paraguay","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"296",296,"Paraguay","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"297",297,"Paraguay","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"298",298,"Peru","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"299",299,"Peru","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"300",300,"Peru","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"301",301,"Philippines","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"302",302,"Philippines","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"303",303,"Philippines","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"304",304,"Poland","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"305",305,"Poland","Europe","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"306",306,"Poland","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"307",307,"Qatar","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"308",308,"Qatar","Asia","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"309",309,"Qatar","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"310",310,"North Korea","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"311",311,"North Korea","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"312",312,"North Korea","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"313",313,"Republic of Moldova","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"314",314,"Republic of Moldova","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"315",315,"Republic of Moldova","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"316",316,"Romania","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"317",317,"Romania","Europe","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"318",318,"Romania","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"319",319,"Russia","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"320",320,"Russia","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"321",321,"Russia","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"322",322,"Rwanda","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"323",323,"Rwanda","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"324",324,"Rwanda","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"325",325,"Saint Lucia","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"326",326,"Saint Lucia","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"327",327,"Saint Lucia","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"328",328,"Saint Vincent and the Grenadines","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"329",329,"Saint Vincent and the Grenadines","Americas","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"330",330,"Saint Vincent and the Grenadines","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"331",331,"Samoa","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"332",332,"Samoa","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"333",333,"Samoa","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"334",334,"Sao Tome and Principe","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"335",335,"Sao Tome and Principe","Africa","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"336",336,"Sao Tome and Principe","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"337",337,"Saudi Arabia","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"338",338,"Saudi Arabia","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"339",339,"Saudi Arabia","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"340",340,"Senegal","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"341",341,"Senegal","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"342",342,"Senegal","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"343",343,"Serbia","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"344",344,"Serbia","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"345",345,"Serbia","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"346",346,"Seychelles","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"347",347,"Seychelles","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"348",348,"Seychelles","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"349",349,"Sierra Leone","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"350",350,"Sierra Leone","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"351",351,"Sierra Leone","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"352",352,"Singapore","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"353",353,"Singapore","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"354",354,"Singapore","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"355",355,"Slovakia","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"356",356,"Slovakia","Europe","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"357",357,"Slovakia","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"358",358,"Somalia","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"359",359,"Somalia","Africa","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"360",360,"Somalia","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"361",361,"South Africa","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"362",362,"South Africa","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"363",363,"South Africa","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"364",364,"S. Sudan","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"365",365,"S. Sudan","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"366",366,"S. Sudan","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"367",367,"Sri Lanka","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"368",368,"Sri Lanka","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"369",369,"Sri Lanka","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"370",370,"Sudan","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"371",371,"Sudan","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"372",372,"Sudan","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"373",373,"Suriname","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"374",374,"Suriname","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"375",375,"Suriname","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"376",376,"Syria","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"377",377,"Syria","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"378",378,"Syria","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"379",379,"Tajikistan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"380",380,"Tajikistan","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"381",381,"Tajikistan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"382",382,"Togo","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"383",383,"Togo","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"384",384,"Togo","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"385",385,"Tonga","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"386",386,"Tonga","Oceania","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"387",387,"Tonga","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"388",388,"Tunisia","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"389",389,"Tunisia","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"390",390,"Tunisia","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"391",391,"Turkmenistan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"392",392,"Turkmenistan","Asia","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"393",393,"Turkmenistan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"394",394,"Tuvalu","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"395",395,"Tuvalu","Oceania","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"396",396,"Tuvalu","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"397",397,"Uganda","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"398",398,"Uganda","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"399",399,"Uganda","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"400",400,"Ukraine","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"401",401,"Ukraine","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"402",402,"Ukraine","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"403",403,"United Arab Emirates","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"404",404,"United Arab Emirates","Asia","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"405",405,"United Arab Emirates","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"406",406,"Tanzania","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"407",407,"Tanzania","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"408",408,"Tanzania","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"409",409,"United States","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"410",410,"United States","Americas","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"411",411,"United States","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"412",412,"Uruguay","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"413",413,"Uruguay","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"414",414,"Uruguay","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"415",415,"Uzbekistan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"416",416,"Uzbekistan","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"417",417,"Uzbekistan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"418",418,"Vanuatu","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"419",419,"Vanuatu","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"420",420,"Vanuatu","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"421",421,"Venezuela","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"422",422,"Venezuela","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"423",423,"Venezuela","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"424",424,"Vietnam","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"425",425,"Vietnam","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"426",426,"Vietnam","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"427",427,"Zambia","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"428",428,"Zambia","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"429",429,"Zambia","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"430",430,"Zimbabwe","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"431",431,"Zimbabwe","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"432",432,"Zimbabwe","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
